Key,German(de)
chapter_title_intro,Einführung
chapter_title_pretraining,Vorbereitung
chapter_title_m_1,3-Finger strecken
chapter_title_m_2,Mittelfinger krümmen
chapter_title_m_3,Strecken und klemmen
chapter_title_m_4,Knoten fertigstellen
chapter_title_z_1,Über Kreuz spannen
chapter_title_z_2,Durch Schlaufe ziehen
chapter_title_z_3,Festdrücken und fertigstellen
