Key,German(de)
tbd,Noch nicht gesetzt.
ui_next,Nächstes
ui_previous,Vorheriges
ui_start,Start
ui_stop,Stopp
ui_pause,Pause
ui_slower,Langsamer
ui_faster,Schneller
ui_menu,Menü
ui_language,Sprache
ui_settings,Einstellungen
