0	0
1	17
2	26
3	36
4	48
5	58
6	70
7	81
8	91
9	104
10	114
11	127
12	136
13	148
14	159
15	170
16	181
17	192
18	203
19	215
20	228
21	241
22	259
23	271
24	282
25	292
26	303
27	315
28	326
29	336
30	348
31	358
32	370
33	381
34	392
35	404
36	415
37	426
38	437
39	448
40	459
41	470
42	481
43	493
44	507
45	517
46	530
47	549
48	558
49	572
50	581
51	592
52	604
53	614
54	626
55	636
56	649
57	658
58	671
59	681
60	697
61	715
62	725
63	737
64	749
65	759
66	772
67	782
68	792
69	803
70	816
71	826
72	836
73	849
74	859
75	871
76	882
77	893
78	904
79	914
80	927
81	941
82	954
83	971
84	980
85	992
86	1004
87	1014
88	1025
89	1037
90	1047
91	1058
92	1070
93	1082
94	1093
95	1103
96	1116
97	1129
98	1137
99	1153
100	1170
101	1181
102	1192
103	1203
104	1215
105	1225
106	1237
107	1247
108	1259
109	1270
110	1284
111	1297
112	1315
113	1326
114	1336
115	1348
116	1358
117	1370
118	1381
119	1392
120	1403
121	1414
122	1425
123	1436
124	1449
125	1458
126	1470
127	1481
128	1493
129	1502
130	1514
131	1525
132	1536
133	1548
134	1559
135	1572
136	1587
137	1603
138	1615
139	1625
140	1637
141	1649
142	1658
143	1670
144	1681
145	1692
146	1703
147	1715
148	1726
149	1736
150	1748
151	1758
152	1771
153	1781
154	1793
155	1804
156	1815
157	1826
158	1837
159	1848
160	1859
161	1870
162	1881
163	1892
164	1903
165	1914
166	1926
167	1937
168	1949
169	1964
170	1983
171	1993
172	2003
173	2015
174	2026
175	2036
176	2048
177	2059
178	2070
179	2083
180	2097
181	2115
182	2125
183	2136
184	2149
185	2159
186	2172
187	2181
188	2192
189	2203
190	2216
191	2226
192	2237
193	2249
194	2265
195	2282
196	2292
197	2303
198	2314
199	2325
200	2337
201	2348
202	2359
203	2370
204	2382
205	2393
206	2405
207	2414
208	2426
209	2436
210	2448
211	2459
212	2471
213	2482
214	2492
215	2505
216	2515
217	2526
218	2537
219	2553
220	2572
221	2582
222	2592
223	2605
224	2616
225	2626
226	2637
227	2650
228	2659
229	2670
230	2682
231	2697
232	2706
233	2715
234	2730
235	2751
236	2760
237	2770
238	2783
239	2797
240	2818
241	2827
242	2836
243	2848
244	2859
245	2870
246	2881
247	2893
248	2904
249	2915
250	2926
251	2936
252	2948
253	2959
254	2971
255	2981
256	2993
257	3008
258	3017
259	3032
260	3048
261	3058
262	3070
263	3082
264	3093
265	3103
266	3115
267	3127
268	3137
269	3149
270	3158
271	3171
272	3181
273	3193
274	3204
275	3216
276	3233
277	3248
278	3260
279	3270
280	3282
281	3292
282	3305
283	3314
284	3326
285	3337
286	3348
287	3358
288	3370
289	3381
290	3392
291	3405
292	3414
293	3426
294	3436
295	3449
296	3458
297	3470
298	3488
299	3503
300	3515
301	3525
302	3536
303	3548
304	3559
305	3571
306	3583
307	3592
308	3603
309	3615
310	3625
311	3637
312	3649
313	3659
314	3672
315	3681
316	3693
317	3704
318	3715
319	3726
320	3738
321	3752
322	3770
323	3782
324	3794
325	3804
326	3814
327	3825
328	3836
329	3848
330	3859
331	3870
332	3882
333	3892
334	3904
335	3914
336	3925
337	3937
338	3953
339	3971
340	3982
341	3992
342	4004
343	4014
344	4025
345	4036
346	4049
347	4058
348	4070
349	4082
350	4098
351	4116
352	4126
353	4138
354	4147
355	4163
356	4185
357	4207
358	4229
359	4241
360	4263
361	4284
362	4298
363	4319
364	4340
365	4354
366	4374
367	4397
368	4419
369	4441
370	4463
371	4485
372	4507
373	4529
374	4553
375	4636
376	4650
377	4665
378	4682
379	4692
380	4704
381	4714
382	4725
383	4736
384	4749
385	4758
386	4771
387	4781
388	4792
389	4804
390	4815
391	4825
392	4837
393	4849
394	4862
395	4871
396	4886
397	4904
398	4915
399	4925
400	4937
401	4948
402	4959
403	4970
404	4981
405	4992
406	5003
407	5015
408	5026
409	5037
410	5048
411	5058
412	5072
413	5087
414	5104
415	5115
416	5125
417	5136
418	5148
419	5158
420	5170
421	5181
422	5192
423	5203
424	5215
425	5226
426	5237
427	5249
428	5259
429	5271
430	5283
431	5302
432	5316
433	5325
434	5336
435	5348
436	5358
437	5369
438	5381
439	5392
440	5403
441	5415
442	5426
443	5437
444	5448
445	5458
446	5471
447	5480
448	5493
449	5504
450	5518
451	5537
452	5548
453	5558
454	5570
455	5580
456	5592
457	5604
458	5614
459	5626
460	5636
461	5650
462	5665
463	5682
464	5693
465	5702
466	5715
467	5725
468	5736
469	5748
470	5759
471	5771
472	5781
473	5792
474	5803
475	5815
476	5827
477	5837
478	5848
479	5858
480	5871
481	5883
482	5897
483	5916
484	5926
485	5936
486	5950
487	5963
488	5974
489	5992
490	6004
491	6015
492	6025
493	6037
494	6048
495	6058
496	6070
497	6080
498	6093
499	6104
500	6115
501	6126
502	6137
503	6148
504	6158
505	6171
506	6181
507	6194
508	6204
509	6215
510	6227
511	6236
512	6249
513	6259
514	6274
515	6285
516	6304
517	6316
518	6325
519	6337
520	6349
521	6358
522	6370
523	6382
524	6397
525	6415
526	6425
527	6436
528	6449
529	6458
530	6471
531	6481
532	6492
533	6503
534	6517
535	6531
536	6548
537	6558
538	6571
539	6581
540	6593
541	6605
542	6614
543	6625
544	6636
545	6648
546	6658
547	6671
548	6681
549	6692
550	6703
551	6714
552	6726
553	6737
554	6748
555	6759
556	6771
557	6781
558	6792
559	6804
560	6815
561	6826
562	6837
563	6853
564	6871
565	6882
566	6892
567	6903
568	6914
569	6925
570	6936
571	6949
572	6958
573	6969
574	6981
575	6992
576	7003
